Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,snapshot_date
415,Nigel Hayes-Davis,31,PHO,SF,22,0,177,14,42,0.333,2,15,0.133,12,27,0.444,0.357,1,2,0.5,10,18,28,7,7,1,7,15,31,0,NA,2026-01-07
416,Xavier Tillman Sr.,27,BOS,C,11,1,103,14,28,0.5,3,13,0.231,11,15,0.733,0.554,0,0,NA,10,14,24,5,6,2,4,9,31,0,NA,2026-01-07
417,Johnny Juzang,24,MIN,SG,14,0,51,12,28,0.429,5,18,0.278,7,10,0.7,0.518,1,2,0.5,2,8,10,4,1,0,2,3,30,0,NA,2026-01-07
418,Dereck Lively II,21,DAL,C,7,4,115,11,18,0.611,0,0,NA,11,18,0.611,0.611,8,10,0.8,14,23,37,13,4,11,10,21,30,0,NA,2026-01-07
419,Brooks Barnhizer,23,OKC,SG,20,0,153,12,26,0.462,1,5,0.2,11,21,0.524,0.481,4,6,0.667,6,30,36,9,3,2,3,11,29,0,NA,2026-01-07
420,Jeff Green,39,HOU,PF,14,0,63,11,23,0.478,7,16,0.438,4,7,0.571,0.63,0,0,NA,1,5,6,2,0,1,1,5,29,0,NA,2026-01-07
421,DaRon Holmes,23,DEN,PF,7,3,95,9,20,0.45,6,14,0.429,3,6,0.5,0.6,5,6,0.833,2,10,12,12,0,2,3,8,29,0,NA,2026-01-07
422,Bronny James,21,LAL,SG,18,1,147,11,35,0.314,5,18,0.278,6,17,0.353,0.386,2,2,1,4,6,10,24,9,1,12,12,29,0,NA,2026-01-07
423,Maxi Kleber,34,LAL,PF,16,0,192,9,29,0.31,3,15,0.2,6,14,0.429,0.362,8,10,0.8,7,20,27,11,4,5,7,25,29,0,NA,2026-01-07
424,Kevin McCullar Jr.,24,NYK,SF,9,0,84,10,22,0.455,6,13,0.462,4,9,0.444,0.591,2,5,0.4,8,12,20,14,4,0,8,12,28,0,NA,2026-01-07
425,Luke Travers,24,CLE,SG,12,0,103,9,36,0.25,1,16,0.063,8,20,0.4,0.264,9,9,1,9,15,24,9,7,4,3,6,28,0,NA,2026-01-07
426,Hunter Tyson,25,DEN,PF,13,0,69,9,28,0.321,4,15,0.267,5,13,0.385,0.393,6,6,1,2,16,18,4,1,1,1,6,28,0,NA,2026-01-07
427,Myron Gardner,24,MIA,SF,11,0,54,9,20,0.45,4,10,0.4,5,10,0.5,0.55,4,4,1,7,5,12,5,4,0,1,11,26,0,NA,2026-01-07
428,Mason Plumlee,35,CHO,C,14,2,125,9,12,0.75,0,0,NA,9,12,0.75,0.75,8,12,0.667,10,30,40,16,6,0,9,10,26,0,NA,2026-01-07
429,JD Davison,23,HOU,PG,16,0,90,9,20,0.45,4,10,0.4,5,10,0.5,0.55,3,6,0.5,1,5,6,15,4,2,5,7,25,0,NA,2026-01-07
430,Joan Beringer,19,MIN,PF,13,0,58,11,17,0.647,0,0,NA,11,17,0.647,0.647,2,3,0.667,6,13,19,0,1,5,3,9,24,0,NA,2026-01-07
431,Doug McDermott,34,SAC,SF,7,0,70,8,23,0.348,8,23,0.348,0,0,NA,0.522,0,0,NA,0,5,5,2,0,1,3,5,24,0,NA,2026-01-07
432,AJ Johnson,21,WAS,SG,18,0,103,8,33,0.242,4,11,0.364,4,22,0.182,0.303,3,4,0.75,2,8,10,11,3,0,6,6,23,0,NA,2026-01-07
433,Christian Koloko,25,2TM,C,10,2,151,11,24,0.458,0,1,0,11,23,0.478,0.458,1,2,0.5,10,19,29,6,10,10,4,18,23,0,NA,2026-01-07
433,Christian Koloko,25,LAL,C,2,0,6,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,1,0,0,NA,2026-01-07
433,Christian Koloko,25,MEM,C,8,2,145,11,24,0.458,0,1,0,11,23,0.478,0.458,1,2,0.5,10,18,28,6,10,10,4,17,23,0,NA,2026-01-07
434,Khaman Maluach,19,PHO,C,16,0,75,8,18,0.444,0,4,0,8,14,0.571,0.444,7,8,0.875,5,11,16,2,1,7,8,14,23,0,NA,2026-01-07
435,Andre Jackson Jr.,24,MIL,SG,15,0,97,7,24,0.292,3,15,0.2,4,9,0.444,0.354,5,6,0.833,5,7,12,17,5,2,6,13,22,0,NA,2026-01-07
436,Mark Sears,23,MIL,PG,7,0,26,6,13,0.462,4,8,0.5,2,5,0.4,0.615,6,8,0.75,1,1,2,2,0,0,4,4,22,0,NA,2026-01-07
437,Anthony Gill,33,WAS,PF,14,0,46,8,12,0.667,1,2,0.5,7,10,0.7,0.708,4,4,1,5,6,11,0,1,1,4,3,21,0,NA,2026-01-07
438,Antonio Reeves,25,CHO,SG,6,0,53,8,16,0.5,5,10,0.5,3,6,0.5,0.656,0,0,NA,1,4,5,2,1,0,0,3,21,0,NA,2026-01-07
439,Caleb Houstan,23,ATL,SF,9,0,44,6,14,0.429,5,11,0.455,1,3,0.333,0.607,3,3,1,4,1,5,2,1,1,4,5,20,0,NA,2026-01-07
440,Adou Thiero,21,LAL,SF,15,0,87,7,18,0.389,0,1,0,7,17,0.412,0.389,6,8,0.75,7,11,18,5,5,1,4,15,20,0,NA,2026-01-07
441,Matisse Thybulle,28,POR,SG,4,0,49,6,10,0.6,4,6,0.667,2,4,0.5,0.8,4,4,1,0,4,4,3,10,0,1,7,20,0,NA,2026-01-07
442,Mac McClung,27,IND,SG,3,0,34,7,18,0.389,2,10,0.2,5,8,0.625,0.444,3,4,0.75,0,4,4,1,5,1,2,6,19,0,NA,2026-01-07
443,Thanasis Antetokounmpo,33,MIL,SF,11,0,29,6,9,0.667,0,0,NA,6,9,0.667,0.667,6,9,0.667,2,3,5,0,3,3,1,7,18,0,NA,2026-01-07
444,Chris Boucher,33,BOS,PF,8,0,91,7,22,0.318,1,12,0.083,6,10,0.6,0.341,3,4,0.75,2,16,18,3,5,7,1,16,18,0,NA,2026-01-07
445,Monte Morris,30,IND,PG,6,0,65,7,20,0.35,2,8,0.25,5,12,0.417,0.4,2,4,0.5,1,6,7,9,1,1,2,3,18,0,NA,2026-01-07
